Zip Code,Incidence
95531,43.4
95540,97.7
95542,41.6
95562,107.6
95570,68
95602,35.1
95603,32.7
95605,65
95608,75.2
95610,42.6
95616,12.9
95618,18.7
95619,140.1
95620,31.6
95621,43.9
95623,39.1
95624,37.9
95626,46.3
95628,24.2
95630,16.5
95631,19.8
95632,27
95640,36
95642,158.6
95648,29.3
95650,20.9
95655,54.2
95658,30
95660,102.9
95661,48.4
95662,34.1
95665,67.3
95666,80
95667,44.9
95669,47.8
95670,45.2
95673,46.4
95677,42.8
95678,39.2
95682,26.1
95685,79.7
95687,46.9
95688,52.9
95691,44.3
95693,24.2
95694,24.5
95695,39.1
95713,26.1
95726,56.2
95742,26.3
95746,13.4
95747,28.5
95757,45.5
95758,37.8
95762,14.9
95765,14.7
95776,45.5
95811,80.3
95814,78.8
95815,139.6
95816,49.5
95817,88.3
95818,42.7
95819,26.7
95820,92.9
95821,94.2
95822,88
95823,115.6
95824,116.3
95825,107.7
95826,40.9
95827,52.9
95828,76.3
95829,46.5
95831,30.7
95832,109.1
95833,63.2
95834,56.2
95835,33
95838,100.3
95841,91.5
95842,97.9
95843,53.8
95864,35.4
95901,56.6
95926,38.4
95928,32.7
95932,42.6
95945,77.6
95946,44.1
95948,54.2
95949,24.2
95953,27.9
95954,71.5
95959,27.8
95961,51.1
95963,34.8
95965,50.5
95966,50.6
95969,38.1
95971,47.3
95973,32.8
95988,62.2
95991,38.8
95993,21.6
96001,61
96002,49
96003,38.6
96007,49.3
96019,35.5
96021,46.4
96022,18.2
96035,80.1
96055,49.8
96064,36.3
96067,57.9
96080,62.3
96093,67.7
96094,32.9
96097,72.2
96101,70
96122,57.9
96130,25.6
96150,18.8
96161,6.7
90001,79.9
90002,67.8
90003,73.4
90004,21.7
90005,24.3
90006,30.1
90007,44.2
90008,75.6
90011,58.5
90012,15
90013,79.8
90014,93.7
90015,55.3
90016,56.9
90017,51.5
90018,47.2
90019,52.4
90020,18.1
90021,164.5
90022,56.1
90023,47.7
90024,13.5
90025,12.8
90026,26.4
90027,30.8
90028,60.1
90029,43.3
90031,25.2
90032,40.2
90033,77.7
90034,22.5
90035,17
90036,26.3
90037,71.4
90038,16.9
90039,38.6
90040,73.1
90041,29.7
90042,31.4
90043,87.5
90044,84.4
90045,22.4
90046,18.8
90047,102.3
90048,17.1
90049,7.1
90056,22.6
90057,35.6
90058,95.6
90059,74.2
90061,89.7
90062,78.9
90063,40.5
90064,17.9
90065,47.7
90066,23.5
90068,11.8
90069,19.4
90201,33.7
90210,12.6
90212,15.5
90220,73.9
90221,67.6
90222,76.7
90230,20.6
90232,18
90240,32.9
90241,41
90242,38.4
90245,18.5
90247,52.4
90248,39.6
90249,64.8
90250,43.5
90254,10.4
90255,50.2
90260,34.9
90262,49
90266,10.5
90270,38
90272,15.3
90274,7.5
90275,10.4
90277,17.8
90278,20.1
90280,28
90291,15.4
90292,21.9
90301,65.1
90302,68.4
90303,70.9
90304,37.3
90305,73.2
90401,68
90403,16
90404,38.5
90405,25
90501,40.7
90502,24.6
90503,18.9
90504,28.3
90505,18.5
90601,41.1
90602,47
90603,31.9
90604,42.2
90605,38
90606,35.6
90620,37.1
90621,42.1
90623,18.9
90630,27.2
90631,29.7
90638,25.9
90640,37.6
90650,37.8
90660,39.5
90670,40.4
90680,34.5
90701,18.3
90703,39.2
90704,49
90706,48.9
90710,32.3
90712,62.2
90713,27.9
90715,52.4
90716,38.6
90717,31.7
90720,20.4
90723,39.5
90731,58.2
90732,19.1
90740,19.9
90744,58.4
90745,39.2
90746,52.3
90755,58.3
90802,58
90803,20.7
90804,62.7
90805,63.9
90806,82.1
90807,28.8
90808,12.6
90810,52.2
90813,127.1
90814,21.4
90815,18.9
91001,31.2
91006,16
91007,17.6
91010,37.4
91011,13.2
91016,23.8
91020,20.3
91024,23.6
91030,14
91040,30
91042,28.5
91101,12
91103,40.7
91104,32.1
91105,15.7
91106,19
91107,14.9
91201,25.1
91202,21.7
91203,14.2
91204,87.1
91205,37.7
91206,21
91208,11.8
91214,32.2
91301,23.8
91302,9.4
91303,38.5
91304,42.6
91306,42.6
91307,24.9
91311,28
91316,35.1
91320,20.7
91321,24.5
91324,43.3
91325,40.6
91326,23.1
91331,50.5
91335,53.1
91340,56.7
91342,49.9
91343,54.2
91344,35
91345,53.7
91350,34.8
91351,32.6
91352,59.5
91354,19.1
91355,20.6
91356,34.2
91360,18.3
