County,Incidence
6000,175.2
6001,226.8
6003,
6005,
6007,217.6
6009,
6011,
6013,232.6
6015,
6017,163.8
6019,164.7
6021,
6023,324.6
6025,94.4
6027,
6029,198.6
6031,168.6
6033,359.1
6035,
6037,170.1
6039,143.5
6041,143.5
6043,
6045,408.9
6047,384.6
6049,
6051,
6053,141
6055,144.4
6057,
6059,127.4
6061,113.1
6063,
6065,129.5
6067,215.3
6069,
6071,168
6073,124.9
6075,218.3
6077,205.9
6079,104.5
6081,76.6
6083,165.8
6085,106.5
6087,149.2
6089,289.6
6091,
6093,395.8
6095,222.1
6097,140.5
6099,280.9
6101,126.4
6103,
6105,
6107,160.9
6109,
6111,132
6113,149.6
6115,149.8
