Zip Code,Incidence
90001,100.1
90002,111.8
90003,130.1
90004,129.4
90005,64
90006,81.9
90007,126.2
90008,157.3
90011,99.4
90012,69.5
90015,121
90016,150.5
90017,99.2
90018,126.1
90019,78.4
90020,75.8
90022,90.8
90023,104.1
90024,44.9
90025,24.8
90026,87.2
90027,73.1
90028,123.4
90029,100
90031,66.4
90032,93.5
90033,129.4
90034,55
90035,46.3
90036,37.3
90037,119.6
90038,107.8
90039,83.6
90040,123.6
90041,55.3
90042,81.4
90043,156.4
90044,158.6
90045,64.3
90046,41.6
90047,172.7
90057,92.8
90059,151.9
90061,105.9
90062,149.9
90063,76.9
90064,27.7
90065,99.1
90066,44.7
90201,72.4
90210,29.8
90220,120
90221,106.5
90222,128.3
90230,33.9
90232,51.2
90240,41.9
90241,79.2
90242,72.1
90245,46.4
90247,139.1
90248,94.8
90249,112.3
90250,134.1
90255,83.7
90260,118.5
90262,68.1
90266,20.8
90270,59
90275,25.8
90277,42.5
90278,64.4
90280,71.3
90291,58.8
90301,125.9
90302,139.4
90303,140.1
90304,105.7
90305,119.2
90403,41.2
90404,86
90405,48.6
90501,99.6
90502,72.8
90503,46.4
90504,70.2
90505,49.2
90601,79.7
90602,125.5
90603,111.8
90604,109.6
90605,116
90606,89.3
90620,62.3
90621,77.9
90623,55.4
90630,32.8
90631,86.8
90638,58.1
90640,86.2
90650,97.2
90660,81.3
90670,73.9
90680,57.9
90701,100
90703,49.6
90706,109.9
90710,105
90712,53.5
90713,63.3
90715,106.1
90716,83.6
90717,58.6
90720,35.6
90723,83.5
90731,136.9
90732,57.9
90744,88.1
90745,91.3
90746,170.6
90755,59.1
90802,93.5
90804,101.7
90805,121.5
90806,97
90807,75.3
90808,28.5
90810,92.7
90813,129
90815,32.9
91001,59.3
91006,29.1
91007,24.7
91010,72.4
91016,67.2
91030,24.8
91040,53.8
91042,72.9
91103,80.4
91104,43.1
91106,70.9
91107,47.6
91201,51.8
91202,44.1
91203,56.5
91204,63.6
91205,87.6
91206,51.5
91214,44.3
91302,19.3
91303,99.7
91304,115.2
91306,78
91307,49.6
91311,59.6
91316,40.9
91320,22.2
91321,58.6
91324,88.4
91325,83.3
91326,29.2
91331,99.2
91335,93.7
91340,138.5
91342,106
91343,128.6
91344,67.9
91345,113.5
91350,46.9
91351,64.9
91352,113.4
91354,32.6
91355,29.7
91356,62.3
91360,55.3
91362,21.6
91364,49.5
91367,49.5
91384,18.7
91387,54.6
91390,22.7
91401,80.6
91402,116
91403,54.1
91405,117.8
91406,98.3
91411,87.6
91423,30.5
91501,62.2
91502,79.2
91504,50.3
91505,45.9
91506,44.2
91601,85.4
91605,92.4
91606,110.3
91607,55.2
91701,35.8
91702,102.6
91706,93.6
91708,120.3
91709,38.8
91710,74.9
91711,45.7
91722,75.6
91723,93
91724,89.2
91730,59.6
91731,83.5
91732,96.5
91733,77.5
91737,41.5
91739,31
91740,75.5
91741,39.9
91744,106.8
91745,66.2
91746,94.2
91748,46.2
91750,44
91752,65.2
91754,71.5
91755,53.4
91761,84.6
91762,96.1
91763,96.4
91764,90
91765,49.4
91766,90.2
91767,103.7
91768,118.9
91770,63.5
91773,63.7
91775,42.9
91776,30.5
91780,41.6
91784,27.9
91786,96.6
91789,38.7
91790,89.7
91791,69.5
91792,55
91801,68.5
91803,71.2
91902,63.9
91910,89.8
91911,93.4
91913,41.9
91915,35
91932,104.7
91941,48.7
91942,95.1
91945,132.7
91950,120.2
91977,101.7
92007,72.4
92008,53.9
92009,25.1
92010,62.7
92011,29.7
92019,56
92020,66.8
92021,64.4
92024,32
92025,48.3
92026,30.1
92027,43.8
92028,34.1
92029,33.5
92037,30.7
92040,56.6
92054,84.6
92056,65.3
92057,60
92058,71.3
92064,34.5
92065,32.8
92069,31.3
92071,40.5
92078,38.7
92081,61.8
92082,32.8
92083,93.4
92084,84
92101,94.4
92102,121.5
92103,78.2
92104,92
92105,109.3
92106,35.1
92107,86.3
92109,41
92110,52.3
92111,107.7
92113,165.6
92114,135.3
92115,82.6
92116,108.1
92117,85.6
92118,41.5
92119,48.4
92120,65
92122,23.9
92123,70.4
92124,43
92126,62.8
92127,29.2
92128,32.2
92129,33.4
92130,19
92131,25.7
92139,84.6
92154,68
92173,98.5
92201,92.4
92203,51.9
92211,87.6
92220,107.7
92223,78.7
92225,150.8
92227,195.4
92231,60.6
92234,51.1
92236,80.5
92240,94.1
92241,62.6
92243,174.8
92249,134.4
92250,134.2
92251,146.6
92252,57.2
92253,31.8
92254,62.7
92260,55.9
92262,57.5
92264,84.9
92274,59
92277,15.8
92284,59.3
92301,126.9
92307,125.5
92308,108.1
92311,195.3
92313,61.9
92314,49
92316,103.5
92324,94.5
92335,81.8
92336,57.2
92337,59.3
92344,54.7
92345,81
92346,69.4
92354,85.1
92359,72.3
92371,62.9
92373,75
92374,75
92376,101.5
92377,34.3
92392,131.2
92394,126.6
92395,141
92399,44.3
92404,148.3
92405,155.5
92407,118.6
92408,97.4
92410,132.4
92411,188.4
92501,121.8
92503,73.4
92504,90.1
92505,76
92506,50.9
92507,96.3
92508,26.1
92509,69.6
92530,31.3
92532,43.5
92543,81
92544,77.7
92545,59.4
92551,98
92553,80.8
92555,59.4
92557,81.3
92562,28.4
92563,30.4
92567,47.8
92570,63.5
92571,66.7
92582,62.3
92583,88.2
92584,42.1
92585,68.3
92586,47.4
92587,43.4
92591,35.8
92592,31.8
92595,40.4
92596,30.5
92602,34.9
92604,46.8
92606,41.9
92612,68.2
92614,44.9
92618,27
92620,49.8
92626,54.1
92627,62.5
92629,32.1
92630,30.8
92646,38.3
92647,39.4
92648,29.1
92649,27.1
92651,37.4
92653,26.7
92655,100.4
92656,31.9
92660,34.5
92672,38.8
92673,16.8
92675,39.8
92677,23.1
92679,22.9
92683,43.3
92688,20.2
92691,42.7
92692,38.1
92694,24.8
92701,76.6
92703,94.5
92704,81.9
92705,60.5
92706,83.3
92707,98.6
92708,43
92780,53.8
92782,25.7
92801,75.1
92802,70.1
92804,81.3
92805,69.5
92806,76.1
92807,37.6
92808,25.7
92821,55.8
92831,82.4
92832,84.4
92833,43.2
92835,33.5
92840,76.7
92841,67.1
92843,62.3
92844,50.7
92865,48.1
92866,66.1
92867,41.2
92868,94.2
92869,35.8
92870,54.9
92879,51.9
92880,47.3
92881,43.9
92882,44.4
92883,33.1
92886,39
92887,54
93001,75.6
93003,63.2
93004,61.9
93010,55.1
93012,19.3
93013,81.1
93015,49.7
93021,41.2
93030,105.9
93033,55
93035,47.5
93036,49.7
93041,43.7
93060,33.1
93063,51.3
93065,53.6
93101,81.3
93103,67.6
93105,32
93110,50.9
93117,69.1
93203,53.4
93204,74.6
93210,130.7
93212,107.9
93215,92.9
93219,90
93221,59.3
93223,69.4
93230,150.8
93234,114.7
93241,65.2
93245,104.8
93247,91
93250,103.5
93256,89
93257,56.5
93263,50.4
93267,98.4
93268,28.5
93274,114.7
93277,54.8
93280,59.9
93286,75.6
93291,61.9
93292,49.9
93301,205.5
93304,162.7
93305,116.8
93306,104.6
93307,127.4
93308,89.6
93309,117.9
93311,56.1
93312,36.8
93313,75.4
93314,40.1
93401,51.6
93402,76.8
93420,41.3
93422,27.1
93433,60.6
93434,140.3
93436,69.9
93444,69.2
93446,45.6
93454,98.5
93455,55.6
93458,73.6
93505,113.1
93514,73.9
93534,185.3
93535,155
93536,67.4
93543,79.2
93550,143.6
93551,58.3
93552,84
93555,79.3
93560,92.6
93561,60.6
93591,152
93609,205.6
93610,102.1
93611,86.3
93612,125.8
93615,56.5
93618,69.3
93619,55.8
93620,148.8
93622,128.9
93625,163.1
93630,72.8
93631,96.1
93635,112.5
93636,67.6
93637,115.7
93638,144.5
93640,112.2
93646,88.8
93647,96.7
93648,173.8
93654,92.8
93656,136.9
93657,109
93660,96
93662,146.6
93701,204.4
93702,149.7
93703,179.5
93704,151.2
93705,207.5
93706,207.2
93710,136
93711,86.9
93720,72.8
93722,167.1
93723,84.8
93725,131.5
93726,175.3
93727,112
93728,216.1
93730,60.8
93901,113.1
93905,120.3
93906,108
93907,101.4
93926,65.2
93927,58.6
93930,46.7
93933,93.4
93940,59.7
93950,62.4
93955,84.8
93960,61
94002,20.8
94010,38.1
94014,83.1
94015,47.7
94019,77.2
94025,33.2
94030,34.3
94040,24.7
94041,52.9
94043,27.9
94044,60.9
94061,47.5
94063,94.4
94066,48.2
94070,19.6
94080,68.9
94085,43.5
94086,36.5
94087,21.2
94089,33.3
94102,103.9
94103,81.8
94107,50.2
94109,34.1
94110,81.2
94112,101.8
94114,31.8
94115,73.3
94116,45.1
94117,85.6
94118,36
94121,30.1
94122,39.4
94124,136.5
94131,51
94132,89.8
94133,76.8
94134,94.7
94303,94
94401,86.8
94402,27.8
94403,53.1
94404,20.9
94501,73.5
94503,65
94505,100.4
94506,26
94509,150.3
94510,66.6
94513,64.2
94518,48.8
94519,68.4
94520,104.9
94521,48.8
94523,36.3
94526,33.1
94530,48
94531,129.3
94533,99.2
94534,50.9
94536,61.7
94538,95.5
94539,25
94541,118.7
94542,107.6
94544,101.3
94545,113.9
94546,74.9
94547,50.1
94549,23.5
94550,42.7
94551,27.2
94553,69.8
94555,45.3
94558,51.5
94559,51.1
94560,129.7
94561,78.1
94564,44.3
94565,145
94566,36.9
94568,41.8
94572,165.4
94577,106.3
94578,132.9
94579,78
94580,105.8
94582,43.8
94583,40.2
94585,66.6
94587,97.5
94588,45
94589,175.8
94590,205.4
94591,108.8
94596,70.1
94597,35.6
94598,41.7
94601,111.4
94602,84.8
94603,192.9
94605,185.7
94606,153.2
94607,179.6
94608,179
94609,156.6
94610,49.5
94611,28.1
94612,159.1
94618,37.9
94619,141.7
94621,203.8
94702,123.5
94703,127
94706,49.5
94710,87.9
94801,195
94803,122.2
94804,183.4
94805,97.5
94806,123
94901,45.9
94903,47.9
94928,51.5
94941,20
94945,39.7
94947,48
94949,48.7
94952,63.5
94954,69
95008,29.8
95012,129.6
95014,12.1
95019,176.7
95020,69.2
95023,73
95032,30.5
95035,32.4
95037,29.2
95050,47.2
95051,37.9
95060,38.1
95062,42.6
95076,94.9
95110,37
95111,58.4
95112,58.3
95116,60.1
95117,67
95118,43.4
95119,68.5
95120,16.5
95121,40.7
95122,58.7
95123,52.3
95124,27.1
95125,27.4
95126,55.3
95127,54
95128,27.5
95129,15.2
95131,27.6
95132,38.3
95133,34.8
95134,45.8
95135,35.8
95136,36.4
95138,32.2
95148,35.5
95202,131.7
95203,144
95204,113
95205,110.5
95206,111.2
95207,96.1
95209,64
95210,92.9
95212,60.4
95215,70.5
95219,47
95240,63.5
95242,40.1
95252,84.5
95301,84.7
95304,54.8
95307,77.8
95315,102.8
95320,65.7
95322,73.4
95324,93.1
95326,51.4
95328,78.2
95330,104.3
95334,71
95336,116.6
95337,92.9
95338,62.5
95340,198.3
95341,139
95348,138.3
95350,108.8
95351,104
95354,102.1
95355,69.9
95356,73.7
95357,70.3
95358,83.2
95360,73.7
95361,61.5
95363,76.3
95366,39.3
95367,62.9
95368,77.1
