FIPS,State,County,Median Household Income,Population,Percent African American,Percent Hispanic,Percent Rural,Percent Smokers,Percent Uninsured
6000,California,,71785,39536653,5.6,39.1,5,11,8
6001,California,Alameda,95550,1663190,10.5,22.5,0.4,11,5
6003,California,Alpine,55755,1120,0.4,11.1,100,15,7
6005,California,Amador,60588,38626,2.3,14.1,60.4,11,6
6007,California,Butte,48634,229294,1.5,16.4,18.9,14,7
6009,California,Calaveras,58536,45670,0.8,12.1,75.4,12,6
6011,California,Colusa,53595,21805,1,59.6,31.7,12,11
6013,California,Contra Costa,95062,1147439,8.7,25.7,0.8,10,6
6015,California,Del Norte,39996,27470,2.9,19.1,33.7,15,8
6017,California,El Dorado,78464,188987,0.9,12.8,34.7,11,5
6019,California,Fresno,51452,989255,4.6,53.2,10.8,14,9
6021,California,Glenn,49979,28094,0.8,41.9,40.9,14,10
6023,California,Humboldt,46123,136754,1.2,11.7,29.8,15,8
6025,California,Imperial,43413,182830,2.5,84.3,17.4,13,8
6027,California,Inyo,53528,18026,0.9,22,46.4,12,9
6029,California,Kern,49904,893119,5.2,53.4,10.2,16,8
6031,California,Kings,55076,150101,6,54.8,10.9,15,8
6033,California,Lake,45797,64246,1.8,20.6,33.1,15,9
6035,California,Lassen,58776,31163,7.9,19,70.5,14,5
6037,California,Los Angeles,64912,10163507,8,48.6,0.6,11,11
6039,California,Madera,50783,156890,3.3,58,32.9,14,10
6041,California,Marin,112735,260955,2.5,16.1,6.5,10,5
6043,California,Mariposa,52387,17569,1,11.4,100,12,8
6045,California,Mendocino,50453,88018,0.8,25.4,45.2,14,10
6047,California,Merced,48036,272673,3,59.6,14.3,14,8
6049,California,Modoc,40970,8859,1,14.6,70,13,10
6051,California,Mono,60318,14168,0.7,27.5,45.8,13,10
6053,California,Monterey,70294,437907,2.6,58.8,9.8,12,11
6055,California,Napa,83881,140973,2,34.3,13.4,11,7
6057,California,Nevada,64901,99814,0.5,9.5,42.1,12,7
6059,California,Orange,86031,3190400,1.6,34.2,0.1,10,8
6061,California,Placer,81366,386166,1.6,14,13.8,10,5
6063,California,Plumas,51756,18742,1,8.9,74,12,7
6065,California,Riverside,63776,2423266,6.1,49.1,4.6,12,10
6067,California,Sacramento,62959,1530615,9.8,23.3,2.1,13,6
6069,California,San Benito,77200,60310,0.8,59.9,24,11,7
6071,California,San Bernardino,60270,2157404,8.2,53.4,4.7,13,9
6073,California,San Diego,76048,3337685,4.7,33.9,3.3,11,8
6075,California,San Francisco,109601,884363,5,15.2,0,10,5
6077,California,San Joaquin,60950,745424,7.1,41.6,8.5,12,7
6079,California,San Luis Obispo,70634,283405,1.7,22.6,16.6,11,7
6081,California,San Mateo,115908,771410,2.3,24.5,1.9,9,5
6083,California,Santa Barbara,70651,448150,1.8,45.6,5,11,10
6085,California,Santa Clara,118468,1938153,2.3,25.6,1.1,8,5
6087,California,Santa Cruz,76633,275897,0.9,33.9,12,12,7
6089,California,Shasta,51207,179921,1,10.1,29.3,14,7
6091,California,Sierra,49495,2999,0.2,11,99.7,12,7
6093,California,Siskiyou,44013,43853,1.3,12.6,65.8,15,8
6095,California,Solano,75931,445458,13.8,26.5,3.7,12,6
6097,California,Sonoma,79511,504217,1.6,27,12.4,11,8
6099,California,Stanislaus,58925,547899,2.6,46.3,8,13,7
6101,California,Sutter,54102,96648,2.1,31,14.8,13,9
6103,California,Tehama,41819,63926,0.8,25.2,51.5,15,8
6105,California,Trinity,40676,12709,0.6,7.3,100,15,9
6107,California,Tulare,46377,464493,1.2,64.7,15.5,16,10
6109,California,Tuolumne,58776,54248,1.8,12.5,49,12,6
6111,California,Ventura,82436,854223,1.7,42.9,3.1,11,10
6113,California,Yolo,64900,219116,2.4,31.8,6.9,12,7
6115,California,Yuba,53822,77031,3.5,28.3,26.2,15,7
