"Zip.Code","Incidence","Year"
95531,43.4,2013
95540,97.7,2013
95542,41.6,2013
95562,107.6,2013
95570,68,2013
95602,35.1,2013
95603,32.7,2013
95605,65,2013
95608,75.2,2013
95610,42.6,2013
95616,12.9,2013
95618,18.7,2013
95619,140.1,2013
95620,31.6,2013
95621,43.9,2013
95623,39.1,2013
95624,37.9,2013
95626,46.3,2013
95628,24.2,2013
95630,16.5,2013
95631,19.8,2013
95632,27,2013
95640,36,2013
95642,158.6,2013
95648,29.3,2013
95650,20.9,2013
95655,54.2,2013
95658,30,2013
95660,102.9,2013
95661,48.4,2013
95662,34.1,2013
95665,67.3,2013
95666,80,2013
95667,44.9,2013
95669,47.8,2013
95670,45.2,2013
95673,46.4,2013
95677,42.8,2013
95678,39.2,2013
95682,26.1,2013
95685,79.7,2013
95687,46.9,2013
95688,52.9,2013
95691,44.3,2013
95693,24.2,2013
95694,24.5,2013
95695,39.1,2013
95713,26.1,2013
95726,56.2,2013
95742,26.3,2013
95746,13.4,2013
95747,28.5,2013
95757,45.5,2013
95758,37.8,2013
95762,14.9,2013
95765,14.7,2013
95776,45.5,2013
95811,80.3,2013
95814,78.8,2013
95815,139.6,2013
95816,49.5,2013
95817,88.3,2013
95818,42.7,2013
95819,26.7,2013
95820,92.9,2013
95821,94.2,2013
95822,88,2013
95823,115.6,2013
95824,116.3,2013
95825,107.7,2013
95826,40.9,2013
95827,52.9,2013
95828,76.3,2013
95829,46.5,2013
95831,30.7,2013
95832,109.1,2013
95833,63.2,2013
95834,56.2,2013
95835,33,2013
95838,100.3,2013
95841,91.5,2013
95842,97.9,2013
95843,53.8,2013
95864,35.4,2013
95901,56.6,2013
95926,38.4,2013
95928,32.7,2013
95932,42.6,2013
95945,77.6,2013
95946,44.1,2013
95948,54.2,2013
95949,24.2,2013
95953,27.9,2013
95954,71.5,2013
95959,27.8,2013
95961,51.1,2013
95963,34.8,2013
95965,50.5,2013
95966,50.6,2013
95969,38.1,2013
95971,47.3,2013
95973,32.8,2013
95988,62.2,2013
95991,38.8,2013
95993,21.6,2013
96001,61,2013
96002,49,2013
96003,38.6,2013
96007,49.3,2013
96019,35.5,2013
96021,46.4,2013
96022,18.2,2013
96035,80.1,2013
96055,49.8,2013
96064,36.3,2013
96067,57.9,2013
96080,62.3,2013
96093,67.7,2013
96094,32.9,2013
96097,72.2,2013
96101,70,2013
96122,57.9,2013
96130,25.6,2013
96150,18.8,2013
96161,6.7,2013
90001,79.9,2013
90002,67.8,2013
90003,73.4,2013
90004,21.7,2013
90005,24.3,2013
90006,30.1,2013
90007,44.2,2013
90008,75.6,2013
90011,58.5,2013
90012,15,2013
90013,79.8,2013
90014,93.7,2013
90015,55.3,2013
90016,56.9,2013
90017,51.5,2013
90018,47.2,2013
90019,52.4,2013
90020,18.1,2013
90021,164.5,2013
90022,56.1,2013
90023,47.7,2013
90024,13.5,2013
90025,12.8,2013
90026,26.4,2013
90027,30.8,2013
90028,60.1,2013
90029,43.3,2013
90031,25.2,2013
90032,40.2,2013
90033,77.7,2013
90034,22.5,2013
90035,17,2013
90036,26.3,2013
90037,71.4,2013
90038,16.9,2013
90039,38.6,2013
90040,73.1,2013
90041,29.7,2013
90042,31.4,2013
90043,87.5,2013
90044,84.4,2013
90045,22.4,2013
90046,18.8,2013
90047,102.3,2013
90048,17.1,2013
90049,7.1,2013
90056,22.6,2013
90057,35.6,2013
90058,95.6,2013
90059,74.2,2013
