"Zip.Code","Incidence","Year"
90001,100.1,2013
90002,111.8,2013
90003,130.1,2013
90004,129.4,2013
90005,64,2013
90006,81.9,2013
90007,126.2,2013
90008,157.3,2013
90011,99.4,2013
90012,69.5,2013
90015,121,2013
90016,150.5,2013
90017,99.2,2013
90018,126.1,2013
90019,78.4,2013
90020,75.8,2013
90022,90.8,2013
90023,104.1,2013
90024,44.9,2013
90025,24.8,2013
90026,87.2,2013
90027,73.1,2013
90028,123.4,2013
90029,100,2013
90031,66.4,2013
90032,93.5,2013
90033,129.4,2013
90034,55,2013
90035,46.3,2013
90036,37.3,2013
90037,119.6,2013
90038,107.8,2013
90039,83.6,2013
90040,123.6,2013
90041,55.3,2013
90042,81.4,2013
90043,156.4,2013
90044,158.6,2013
90045,64.3,2013
90046,41.6,2013
90047,172.7,2013
90057,92.8,2013
90059,151.9,2013
90061,105.9,2013
90062,149.9,2013
90063,76.9,2013
90064,27.7,2013
90065,99.1,2013
90066,44.7,2013
90201,72.4,2013
90210,29.8,2013
90220,120,2013
90221,106.5,2013
90222,128.3,2013
90230,33.9,2013
90232,51.2,2013
90240,41.9,2013
90241,79.2,2013
90242,72.1,2013
90245,46.4,2013
90247,139.1,2013
90248,94.8,2013
90249,112.3,2013
90250,134.1,2013
90255,83.7,2013
90260,118.5,2013
90262,68.1,2013
90266,20.8,2013
90270,59,2013
90275,25.8,2013
90277,42.5,2013
90278,64.4,2013
90280,71.3,2013
90291,58.8,2013
90301,125.9,2013
90302,139.4,2013
90303,140.1,2013
90304,105.7,2013
90305,119.2,2013
90403,41.2,2013
90404,86,2013
90405,48.6,2013
90501,99.6,2013
90502,72.8,2013
90503,46.4,2013
90504,70.2,2013
90505,49.2,2013
90601,79.7,2013
90602,125.5,2013
90603,111.8,2013
90604,109.6,2013
90605,116,2013
90606,89.3,2013
90620,62.3,2013
90621,77.9,2013
90623,55.4,2013
90630,32.8,2013
90631,86.8,2013
90638,58.1,2013
90640,86.2,2013
90650,97.2,2013
90660,81.3,2013
90670,73.9,2013
90680,57.9,2013
90701,100,2013
90703,49.6,2013
90706,109.9,2013
90710,105,2013
90712,53.5,2013
90713,63.3,2013
90715,106.1,2013
90716,83.6,2013
90717,58.6,2013
90720,35.6,2013
90723,83.5,2013
90731,136.9,2013
90732,57.9,2013
90744,88.1,2013
90745,91.3,2013
90746,170.6,2013
90755,59.1,2013
90802,93.5,2013
90804,101.7,2013
90805,121.5,2013
90806,97,2013
90807,75.3,2013
90808,28.5,2013
90810,92.7,2013
90813,129,2013
90815,32.9,2013
91001,59.3,2013
91006,29.1,2013
91007,24.7,2013
91010,72.4,2013
91016,67.2,2013
91030,24.8,2013
91040,53.8,2013
91042,72.9,2013
91103,80.4,2013
91104,43.1,2013
91106,70.9,2013
91107,47.6,2013
91201,51.8,2013
91202,44.1,2013
91203,56.5,2013
91204,63.6,2013
91205,87.6,2013
91206,51.5,2013
91214,44.3,2013
91302,19.3,2013
91303,99.7,2013
91304,115.2,2013
91306,78,2013
91307,49.6,2013
91311,59.6,2013
91316,40.9,2013
91320,22.2,2013
91321,58.6,2013
91324,88.4,2013
91325,83.3,2013
91326,29.2,2013
91331,99.2,2013
91335,93.7,2013
91340,138.5,2013
91342,106,2013
91343,128.6,2013
91344,67.9,2013
91345,113.5,2013
91350,46.9,2013
91351,64.9,2013
91352,113.4,2013
91354,32.6,2013
91355,29.7,2013
91356,62.3,2013
91360,55.3,2013
91362,21.6,2013
91364,49.5,2013
91367,49.5,2013
91384,18.7,2013
91387,54.6,2013
91390,22.7,2013
91401,80.6,2013
91402,116,2013
91403,54.1,2013
91405,117.8,2013
91406,98.3,2013
91411,87.6,2013
91423,30.5,2013
91501,62.2,2013
91502,79.2,2013
91504,50.3,2013
91505,45.9,2013
91506,44.2,2013
91601,85.4,2013
91605,92.4,2013
91606,110.3,2013
91607,55.2,2013
91701,35.8,2013
91702,102.6,2013
91706,93.6,2013
91708,120.3,2013
91709,38.8,2013
91710,74.9,2013
91711,45.7,2013
91722,75.6,2013
91723,93,2013
91724,89.2,2013
91730,59.6,2013
91731,83.5,2013
91732,96.5,2013
91733,77.5,2013
91737,41.5,2013
91739,31,2013
91740,75.5,2013
91741,39.9,2013
91744,106.8,2013
91745,66.2,2013
91746,94.2,2013
91748,46.2,2013
91750,44,2013
91752,65.2,2013
91754,71.5,2013
91755,53.4,2013
91761,84.6,2013
91762,96.1,2013
91763,96.4,2013
91764,90,2013
91765,49.4,2013
91766,90.2,2013
91767,103.7,2013
91768,118.9,2013
91770,63.5,2013
91773,63.7,2013
91775,42.9,2013
91776,30.5,2013
91780,41.6,2013
91784,27.9,2013
91786,96.6,2013
91789,38.7,2013
91790,89.7,2013
91791,69.5,2013
91792,55,2013
91801,68.5,2013
91803,71.2,2013
91902,63.9,2013
91910,89.8,2013
91911,93.4,2013
91913,41.9,2013
91915,35,2013
91932,104.7,2013
91941,48.7,2013
